,page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
Bad Boys for Life,58635027,Q29021224,Bad Boys for Life,2020-01-16T00:00:00Z,419074646,123,English,"Mexico, United States of America","['comedy', 'action', 'crime']","['76%', '6.2/10', '59/100']","[""People's Choice Awards""]",[''],90000000
Bad Candy,68515031,Q108329192,Bad Candy,2020-01-01T00:00:00Z,,,,United States of America,['horror'],[''],[''],[''],
Bad Hair (2020 film),62593289,Q83965675,Bad Hair,2020-01-01T00:00:00Z,,102,English,United States of America,"['comedy', 'horror']","['6.1/10', '62%', '60/100']",[''],[''],
Bad Hombres,65913568,Q106200809,Bad Hombres,,,,,,,,,,
Bad Impulse,66211544,Q104830215,Bad Impulse,2020-01-01T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
Bad Neighbor (film),74474322,Q120999841,Bad Neighbor (film),,,,,,,,,,
Bad Omen (film),67285239,Q106522085,Bad Omen (film),,,,,,,,,,
The Bad Poet,65699255,Q99784895,The Bad Poet,2020-09-08T00:00:00Z,,106,,"France, Italy",[''],[''],[''],[''],
Bad President,66158730,Q104835645,Bad President,,,,,,,,,,
Bad Roads,68806441,Q108703864,Bad Roads,2020-01-01T00:00:00Z,,,"Russian, Ukrainian",Ukraine,['drama'],[''],[''],['International Submission to the Academy Awards'],
Bad Tales,62968118,Q84075576,Bad Tales,2020-02-25T00:00:00Z,,98,Italian,"Switzerland, Italy",['drama'],['47%'],[''],"['European Film Award for Best Screenwriter', 'David di Donatello for Best Director']",
Bad Therapy (film),63342592,Q89677773,Bad Therapy (film),,,,,,,,,,
Bahut Hua Samman,65459289,Q101245230,Bahut Hua Samman,,,,,,,,,,
Balikbayan: From Victims to Survivors,72162784,Q117390918,Balikbayan: From Victims to Survivors,,,,,,,,,,
Ballad of a White Cow,66730420,Q85973822,Ballad of a White Cow,2020-02-01T00:00:00Z,,105,Persian,"Iran, France",['drama'],['89%'],[''],[''],
Bamfaad,63588931,Q96373040,Bamfaad,2020-01-01T00:00:00Z,,,Hindi,India,[''],[''],[''],[''],
Bandar Band,64751576,Q98098887,Bandar Band,,,,,,,,,,
Bangladeshki Sana Tampha,69475677,Q110129501,Bangladeshki Sana Tampha,,,,,,,,,,
The Banishing,67236526,Q65157658,The Banishing,2020-01-01T00:00:00Z,,97,English,United Kingdom,"['ghost', 'horror']",[''],[''],[''],
The Banker (2020 film),58708762,Q60737560,The Banker,2020-03-20T00:00:00Z,,120,English,United States of America,['drama'],"['6.8/10', '79%', '59/100']",[''],[''],
El baño (2020 film),72810697,Q116687102,El baño (2020 film),,,,,,,,,,
Barakat (2020 film),68894369,Q108940238,Barakat,2020-09-01T00:00:00Z,66181,103,"English, Afrikaans",South Africa,['comedy drama'],[''],[''],['International Submission to the Academy Awards'],
Barcelona Burning,77604766,Q128918016,Barcelona Burning,2020-02-27T00:00:00Z,,5,,,[''],[''],[''],[''],
The Barcelona Vampiress,71537338,Q101627339,The Barcelona Vampiress,2020-12-04T00:00:00Z,,103,Catalan,Catalonia,"['thriller', 'drama']",[''],[''],[''],
Basketball County: In the Water,63968401,Q96373201,Basketball County: In the Water,,,,,,,,,,
Batman: Death in the Family,64694188,Q98537283,Batman: Death in the Family,,,,,,,,,,
The Bay of Silence,63383541,Q89090168,The Bay of Silence,2020-07-25T00:00:00Z,,93,English,"United Kingdom, Netherlands",['thriller'],"['5.4/10', '52%']",[''],[''],
Be Water,66016458,Q104878657,Be Water,2020-01-01T00:00:00Z,,,,United States of America,['documentary'],[''],[''],[''],
Beans (2020 film),64687099,Q97959512,Beans,2020-09-13T00:00:00Z,,92,English,Canada,['drama'],"['7.6/10', '94%']",['Canadian Screen Awards for Best Motion Picture'],[''],
"Bear Witness, Take Action",65149726,Q101245086,"Bear Witness, Take Action",,,,,,,,,,
The Beast (2020 film),65953948,Q102411430,The Beast,2020-11-26T00:00:00Z,,,Italian,Italy,"['action', 'drama']",[''],[''],[''],
Beast Beast,65420978,Q101245209,Beast Beast,,,,,,,,,,
The Beast Beneath,64784369,Q101245000,The Beast Beneath,2020-01-01T00:00:00Z,,,,,[''],[''],[''],[''],
Beast Mode (film),69459478,Q110232537,Beast Mode (film),,,,,,,,,,
Beastie Boys Story,63058264,Q91484984,Beastie Boys Story,2020-04-03T00:00:00Z,,,English,United States of America,['documentary'],"['94%', '7.8/10']",[''],[''],
