,page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
Dry Wind,73912164,Q100506077,Dry Wind,2020-02-26T00:00:00Z,,110,Portuguese,Brazil,"['LGBT-related', 'drama']",[''],['Iris Prize'],[''],
The Dry (film),65146782,Q104374134,The Dry,2020-12-11T00:00:00Z,16924715,117,English,Australia,"['drama', 'crime', 'mystery', 'thriller']","['7.3/10', '89%', '69/100']","['AACTA Award for Best Cinematography', 'AACTA Award for Best Adapted Screenplay']","['AACTA Award for Best Editing', 'AACTA Award for Best Original Music Score', 'AACTA Award for Best Sound', 'AACTA Award for Best Film', 'AACTA Award for Best Adapted Screenplay', 'AACTA Award for Best Actress in a Supporting Role', 'AACTA Award for Best Actor in a Leading Role', 'AACTA Award for Best Cinematography', 'AACTA Award for Best Actress in a Leading Role', 'AACTA Award for Best Costume Design', 'AACTA Award for Best Direction']",
Ducky-Ducky-Ducky,69225290,Q109482866,Ducky-Ducky-Ducky,2020-01-01T00:00:00Z,,,,Russia,[''],[''],[''],[''],
The Duke (2020 film),62191313,Q85806998,The Duke,2020-01-01T00:00:00Z,,95,English,United Kingdom,"['comedy', 'biographical']","['97%', '8/10', '74/100']",[''],[''],
Dune Drifter,73081910,Q116051252,Dune Drifter,2020-01-01T00:00:00Z,,98,English,United Kingdom,[],[''],[''],[''],
Durgamati,62893557,Q85757974,Durgamati,,,,,,,,,,
Dustin (film),65372724,Q104383261,Dustin (film),,,,,,,,,,
Duty Free (film),69340046,Q109967339,Duty Free (film),,,,,,,,,,
Dwitiyo Purush (film),62094088,Q81051411,Dwitiyo Purush,2020-01-01T00:00:00Z,,,Bangla,India,['psychological thriller'],[''],[''],[''],
The Dying of a Last Breed,64034293,Q96408646,The Dying of a Last Breed,,,,,,,,,,
The Eagle's Nest (film),68862809,Q108907293,The Eagle's Nest (film),,,,,,,,,,
Earth and Blood,63689247,Q91852842,Earth and Blood,2020-04-17T00:00:00Z,,80,French,"France, Belgium",['action'],"['5.2/10', '0%', '4.8/10', '5/10', '/5', '3,0/5', '2.65/5', '5.85/10', '0/100', '2,1/5']",[''],[''],
The Earth Is Blue as an Orange,64245432,Q84267513,The Earth Is Blue as an Orange,2020-01-01T00:00:00Z,,74,Russian,"Ukraine, Lithuania",['documentary'],[''],['Sundance World Cinema Directing Award: Documentary'],[''],
Earwig and the Witch,64305906,Q96031360,Earwig and the Witch,,,,,,,,,,
The East (2020 film),67212040,Q102076861,De Oost,2020-01-01T00:00:00Z,,,,Netherlands,['war'],[''],[''],[''],
Eat Wheaties!,66020974,Q104878782,Eat Wheaties!,2020-09-25T00:00:00Z,,88,English,"United States of America, Canada","['comedy', 'drama']","['6.4/10', '66%']",[''],[''],
Ebola Rex,65412851,Q124309744,Ebola Rex,2020-09-01T00:00:00Z,,,English,United States of America,[''],[''],[''],[''],
Echo Boomers (film),65486397,Q102291653,Echo Boomers (film),,,,,,,,,,
Eddy's World,66739625,Q105702334,Eddy's World,,,,,,,,,,
Education (film),65432971,Q100139868,Education,2020-12-13T00:00:00Z,,,,United Kingdom,['drama'],['87/100'],[''],[''],
The Eight Hundred,64878091,Q64854696,The Eight Hundred,2020-08-21T00:00:00Z,,147,"English, Japanese, Mandarin",People's Republic of China,"['drama', 'historical', 'action', 'war']","['6.8/10', '88%', '64/100']",[''],[''],
Eikhoishibu Kanano,66909784,Q105972736,Eikhoishibu Kanano,,,,,,,,,,
Eka Gei Sokari,62188567,Q85758771,Eka Gei Sokari,,,,,,,,,,
El Father Plays Himself,70560601,Q111497853,El Father Plays Himself,2020-01-01T00:00:00Z,,105,Spanish,Venezuela,['documentary'],[''],[''],[''],
Electric Jesus,69696261,Q110555077,Electric Jesus,,,,,,,,,,
Elephant (2020 film),63486764,Q89411396,Elephant,2020-01-01T00:00:00Z,,89,English,United States of America,['documentary'],"['81%', '6.7/10']",[''],[''],
Ella Bella Bingo (film),67616186,Q106959150,Ella Bella Bingo,2020-01-24T00:00:00Z,,75,Norwegian,Norway,"['animated', 'musical', 'family', 'comedy']",[''],[''],[''],
Ellie & Abbie (& Ellie's Dead Aunt),67715901,Q107105075,Ellie & Abbie,2020-01-01T00:00:00Z,,,English,Australia,['comedy'],[''],[''],['AACTA Award for Best Original Screenplay'],
Elyse (film),65720351,Q101202468,Elyse (film),,,,,,,,,,
Embattled (film),65869214,Q104871577,Embattled (film),,,,,,,,,,
Êmîcêtôcêt: Many Bloodlines,65980857,Q104876803,Êmîcêtôcêt: Many Bloodlines,,,,,,,,,,
Emma (2020 film),58910666,Q65091224,Emma,2020-02-14T00:00:00Z,,125,English,"United States of America, United Kingdom","['drama', 'comedy']","['7.3/10', '87%', '71/100']",[''],"['Academy Award for Best Costume Design', 'Academy Award for Best Makeup and Hairstyling']",
Emperor (2020 film),65551987,Q104862576,Emperor,2020-08-18T00:00:00Z,,,,United States of America,['historical drama'],"['5.7/10', '67%']",[''],[''],
Emptiness (film),65569014,Q81938293,Vacío,2020-01-24T00:00:00Z,,92,"Spanish, Mandarin",Ecuador,"['thriller', 'drama']",[''],[''],['International Submission to the Academy Awards'],
The Empty Man (film),51126878,Q39069693,The Empty Man,2020-01-01T00:00:00Z,,137,English,"South Africa, United States of America","['drama', 'thriller', 'cosmic horror', 'crime', 'horror']","['75%', '5.8/10']",[''],[''],
The End of Quantum Reality,71159404,Q112804769,The End of Quantum Reality,,,,,,,,,,
Endless (2020 film),66196575,Q87455205,Endless,2020-01-01T00:00:00Z,,95,,United States of America,"['romance', 'fantasy', 'drama']","['18%', '4.4/10']",[''],[''],
Enemies of the State,67300330,Q106616382,Enemies of the State,2020-09-11T00:00:00Z,,,,United States of America,[''],"['6.4/10', '78%']",[''],[''],
Enfant Terrible (film),64222361,Q82299296,Enfant Terrible,2020-10-01T00:00:00Z,,135,German,Germany,"['biographical', 'biography']",['77%'],[''],[''],
Enforcement (film),68191651,Q73483444,Shorta,2020-10-08T00:00:00Z,,95,Danish,Denmark,['action'],"['83%', '6.5/10', '64/100']","['Robert Award for Best Sound Design', 'Robert Award for Best Actress in a Supporting Role']",[''],
Enola Holmes (film),59894064,Q65032692,Enola Holmes,2020-09-23T00:00:00Z,,123,English,"United Kingdom, United States of America",['mystery'],"['7.1/10', '91%', '68/100']",[''],[''],
Enter the Fat Dragon (2020 film),57566208,Q55610927,Enter the Fat Dragon,2018-01-01T00:00:00Z,,,,People's Republic of China,[],"['6.2/10', '67%']",[''],[''],
Entha Manchivaadavuraa,61854088,Q77892733,Entha Manchivaadavuraa,2020-01-01T00:00:00Z,,,Telugu,India,['drama'],[''],[''],[''],
Epicentro,66177747,Q98457335,Epicentro,2020-01-24T00:00:00Z,,,,"France, Austria",['documentary'],"['90%', '7.8/10']",['Sundance Film Festival World Cinema Grand Jury Prize: Documentary'],[''],
Equal Standard,76497824,Q125243819,Equal Standard,,,,,,,,,,
Escape from Pretoria,60215801,Q62075994,Escape from Pretoria,2020-01-01T00:00:00Z,,106,English,"Australia, United Kingdom",['thriller'],"['73%', '6.4/10']",[''],['AACTA Award for Best Cinematography'],
Estate (2020 film),65146960,Q104853449,Estate (2020 film),,,,,,,,,,
The Estate (2020 film),66204574,Q104830432,The Estate,2020-01-01T00:00:00Z,,,English,United States of America,[''],[''],[''],[''],
Ethalaya,67672808,Q107027809,Ethalaya,,,,,,,,,,
Ettuthikkum Para,63529367,Q96377434,Ettuthikkum Para,,,,,,,,,,
Eureka (2020 film),68304043,Q107980345,Eureka (2020 film),,,,,,,,,,
The Europeans (2020 film),66340520,Q105085648,The Europeans,2020-08-28T00:00:00Z,,89,Spanish,"France, Spain",['romantic comedy'],[''],[''],[''],2700000
Eurovision Song Contest: The Story of Fire Saga,57713341,Q67456281,Eurovision Song Contest: The Story of Fire Saga,2020-06-26T00:00:00Z,,121,"English, Icelandic",United States of America,"['comedy', 'musical']","['63%', '5.8/10', '50/100']",[''],['Academy Award for Best Original Song'],
The Evening Hour (film),62613889,Q83965700,The Evening Hour,2020-01-01T00:00:00Z,,,,United States of America,['drama'],"['75%', '6.7/10']",[''],[''],
"Events Transpiring Before, During and After a High School Basketball Game",65367235,Q101245175,"Events Transpiring Before, During and After a High School Basketball Game",,,,,,,,,,
Everything's Gonna Be Alright (film),76662075,Q86674981,Everything's Gonna Be Alright,2020-01-01T00:00:00Z,,,Italian,Italy,['drama'],[''],[''],[''],
Evil Eye (2020 film),64884447,Q102185100,Evil Eye,2020-10-13T00:00:00Z,,90,"Hindi, English",United States of America,"['thriller', 'drama', 'horror']","['5.4/10', '44%', '54/100']",[''],[''],
The Evil Next Door,68454758,Q100699177,The Evil Next Door,2020-01-01T00:00:00Z,,87,Swedish,Sweden,"['horror', 'mystery', 'thriller']","['5.9/10', '33%']",['Guldbagge Award for Best Sound'],[''],
Executive Order (film),67289540,Q105999387,Executive Order,2020-01-01T00:00:00Z,,105,,Brazil,[''],['93%'],[''],[''],
Exile (2020 film),65540858,Q77717298,Exile,2020-01-01T00:00:00Z,,121,German,"Germany, Belgium",['drama'],['91%'],[''],['International Submission to the Academy Awards'],
Exodus (2020 film),63788450,Q85508845,Exodus,2020-04-12T00:00:00Z,,124,Persian,Iran,['western'],[''],"['Crystal Simorgh for Best Visual Effects', 'Crystal Simorgh for Best Makeup']",['Crystal Simorgh for Best Actor'],
Expensive Shit (play and film),72322633,Q115804408,Expensive Shit (play and film),,,,,,,,,,
Experience + Innocence: Live in Berlin,58391289,Q42666103,Experience + Innocence: Live in Berlin,,,,,,,,,,
Extinction: The Facts,65521122,Q101245260,Extinction: The Facts,2020-09-13T00:00:00Z,,1,,United Kingdom,[''],[''],[''],[''],
Extraction (2020 film),58339992,Q58814616,Extraction,2020-04-24T00:00:00Z,,116,"Hindi, English, Bangla",United States of America,['action'],"['6.2/10', '67%', '56/100']",[''],[''],
The Eye of the Dragon Princess,71533802,Q113649321,The Eye of the Dragon Princess,,,,,,,,,,
Eyimofe,66391811,Q105123403,Eyimofe,2020-10-11T00:00:00Z,,114,English,Nigeria,['drama'],['100%'],[''],[''],
The F**k-It List,69502739,Q97365276,The F**k-It List,2020-07-01T00:00:00Z,,103,English,United States of America,"['teen', 'comedy']","['0%', '2.9/10']",[''],[''],
Fairy (film),65017063,Q65153999,Fairy,2020-01-01T00:00:00Z,,,Russian,Russia,['drama'],[''],[''],[''],
Faith Based (film),53170710,Q104842488,Faith Based,2020-01-18T00:00:00Z,,,,United States of America,['comedy'],"['6.9/10', '94%']",[''],[''],
Faking a Murderer,72528996,Q115870503,Faking a Murderer,,,,,,,,,,
A Fall from Grace,62415024,Q76656331,A Fall from Grace,2020-01-17T00:00:00Z,,,English,United States of America,['thriller'],"['16%', '3.5/10']",[''],[''],
Falling (2020 film),60291865,Q65084732,Falling,2020-01-31T00:00:00Z,489685,112,English,"United Kingdom, Canada","['drama', 'LGBT-related']","['6.3/10', '67%', '63/100']",[''],['European Film Award for Best Actor'],
Fan Girl (2020 film),65941135,Q104875146,Fan Girl (2020 film),,,,,,,,,,
The Fandom,64682693,Q97959787,The Fandom,2020-07-03T00:00:00Z,,,,United States of America,['documentary'],[''],[''],[''],
Fantasy Island (film),58716249,Q60737563,Fantasy Island,2020-01-01T00:00:00Z,,,English,United States of America,"['horror', 'adventure']","['3.4/10', '8%', '22/100']",[''],[''],
Far East Deep South,67660667,Q107007350,Far East Deep South,,,,,,,,,,
Far from Bashar,67791114,Q107202320,Far from Bashar,,,,,,,,,,
Farewell Amor,65947991,Q104162457,Farewell Amor,2020-01-01T00:00:00Z,,,English,United States of America,"['drama', 'musical', 'romance']","['7.5/10', '97%', '75/100']",[''],[''],
Fatal Affair,64450514,Q97183448,Fatal Affair,2020-01-01T00:00:00Z,,89,English,United States of America,[''],"['3.7/10', '19%']",[''],[''],
Fatale (film),59663209,Q60738569,Fatale,2020-01-01T00:00:00Z,,102,English,United States of America,['thriller'],"['4.9/10', '45%']",[''],[''],
Fate of Alakada,66174711,Q104834984,Fate of Alakada,2020-10-01T00:00:00Z,113200000,110,"English, Yoruba",Nigeria,['comedy'],[''],[''],[''],
Fate/stay night: Heaven's Feel III. spring song,62648660,Q74237069,Fate/stay night: Heaven's Feel III. spring song,2020-01-01T00:00:00Z,,122,Japanese,Japan,['action'],[''],[''],[''],
Father (2020 film),66887527,Q85989911,Father,2020-02-01T00:00:00Z,,,,"Serbia, Germany",['drama'],[''],[''],['European Film Award for Best Actor'],
Father of the Bride Part 3(ish),71890983,Q120828170,Father of the Bride Part 3,2020-09-25T00:00:00Z,,24,,,[''],[''],[''],[''],
Father Soldier Son,64572702,Q97495321,Father Soldier Son,2020-01-01T00:00:00Z,,,English,United States of America,['documentary'],"['91%', '7.8/10']",[''],[''],
Father There Is Only One 2,71338894,Q98033877,Father There Is Only One,2020-07-29T00:00:00Z,,96,Spanish,Spain,['comedy'],[''],[''],[''],
The Father (2020 film),60642348,Q65066669,The Father,2020-01-27T00:00:00Z,24777948,97,English,"United Kingdom, France","['drama', 'psychological']","['88', '98', '8.7']","['César Award for Best Foreign Film', 'European Film Award for Best Screenwriter', 'European Film Award for Best Actor', 'Academy Award for Best Writing', 'Adapted Screenplay', 'Academy Award for Best Actor']","['Academy Award for Best Picture', 'Academy Award for Best Actor', 'Academy Award for Best Supporting Actress', 'Academy Award for Best Writing', 'Adapted Screenplay', 'European Film Award for Best Director', 'European Film Award for Best Screenwriter', 'Academy Award for Best Production Design', 'Academy Award for Best Film Editing', 'European Film Award for Best Film', 'European Film Award for Best Actor']",20000000
Fathers (film),66219669,Q104733075,Fathers,2020-01-30T00:00:00Z,,110,Khmer,Cambodia,"['drama', 'family']",[''],[''],['International Submission to the Academy Awards'],
Fatima (2020 film),63211304,Q87134762,Fatima,2020-01-01T00:00:00Z,,113,English,"Portugal, United States of America",['drama'],"['6/10', '57%', '50/100']",[''],[''],
Fatman (2020 film),64721826,Q98078172,Fatman,2020-12-10T00:00:00Z,,100,English,United States of America,['comedy'],"['5.3/10', '45%']",[''],[''],
Fatsani: A Tale of Survival,69018045,Q109237844,Fatsani: A Tale of Survival,2020-01-01T00:00:00Z,,113,"English, Chewa",Malawi,['drama'],[''],[''],['International Submission to the Academy Awards'],
Fauna (film),64369339,Q97355172,Fauna,2020-01-01T00:00:00Z,,,,,[''],[''],[''],[''],
Fear (2020 film),68977101,Q109252800,Fear,2020-01-01T00:00:00Z,,100,Bulgarian,Bulgaria,"['romance', 'drama']",[''],[''],['International Submission to the Academy Awards'],
Fearless (2020 film),64908335,Q98598298,Fearless,2020-01-01T00:00:00Z,,,English,,['comedy'],[''],[''],[''],
Feel the Beat (film),63706666,Q96473088,Feel the Beat,2020-01-01T00:00:00Z,,107,English,United States of America,"['dance', 'comedy drama', 'teen', 'family']","['50%', '5.3/10']",[''],[''],
Feels Good Man,63022861,Q84427809,Feels Good Man,2020-01-27T00:00:00Z,,92,English,United States of America,['documentary'],"['95%', '7.7/10']",['Sundance Special Jury Prize Documentary'],[''],
Fight Lah! Kopitiam,62947418,Q83797874,Fight Lah! Kopitiam,2020-01-01T00:00:00Z,,,"Cantonese, Mandarin",Malaysia,"['comedy', 'action', 'boxing']",[''],[''],[''],
The Fight (2020 film),64175905,Q96408682,The Fight (2020 film),,,,,,,,,,
Figli,75457328,Q83696803,Figli,2020-01-01T00:00:00Z,,97,Italian,Italy,['comedy'],[''],['Starlight International Cinema Award'],[''],
The Film Crew (video),76399332,Q125019264,The Film Crew,2020-06-19T00:00:00Z,,20,English,United States of America,[''],[''],[''],[''],
Final Account (film),65093031,Q104853013,Final Account,2020-09-02T00:00:00Z,,94,German,"United Kingdom, United States of America",['documentary'],"['92%', '7.8/10']",[''],[''],
Final Set,70119925,Q100268946,Final Set,2020-01-01T00:00:00Z,,,,France,[''],"['88%', '7.4/10']",[''],[''],
Find Your Voice,54371890,Q30524059,Find Your Voice,2017-01-01T00:00:00Z,,,,Hong Kong,['drama'],[''],[''],[''],
Finding Agnes,65978387,Q104876729,Finding Agnes,,,,,,,,,,
Finding Hubby,68881993,Q108919466,Finding Hubby,2020-12-04T00:00:00Z,,104,English,Nigeria,"['drama', 'comedy', 'romance']",[''],[''],[''],
Finding Jack Charlton,65988456,Q104877350,Finding Jack Charlton,,,,,,,,,,
Finding Sally,68867474,Q108913476,Finding Sally,,,,,,,,,,
Finding Yingying,66095114,Q104169981,Finding Yingying,,,,,,,,,,
"Fiori, Fiori, Fiori",64826848,Q101245020,"Fiori, Fiori, Fiori",2020-09-05T00:00:00Z,,12,"Italian, English",Italy,['documentary'],[''],[''],[''],
Fire (2020 film),66190114,Q97177450,Fire,2020-12-24T00:00:00Z,926800000,131,Russian,Russia,"['drama', 'adventure', 'disaster']",[''],[''],[''],550000000
Fire on the Hill,72543661,Q116148172,Fire on the Hill,,,,,,,,,,
Fireball: Visitors from Darker Worlds,66352348,Q104936893,Fireball: Visitors from Darker Worlds,2020-01-01T00:00:00Z,,,English,,['documentary'],"['98%', '7.2/10']",[''],[''],
Firestarter: The Story of Bangarra,74055479,Q122723752,Firestarter: The Story of Bangarra,,,,,,,,,,
First We Eat,65224072,Q101245118,First We Eat,,,,,,,,,,
The Fisherman's Diary,66357963,Q105082230,The Fisherman's Diary,2020-01-01T00:00:00Z,,143,Cameroon Pidgin,Cameroon,['drama'],[''],[''],['International Submission to the Academy Awards'],
Five Star Christmas,65960847,Q104876273,Five Star Christmas,,,,,,,,,,
Flashback (2020 film),58572726,Q56736631,Flashback,2020-01-01T00:00:00Z,,97,English,Canada,[''],"['5.9/10', '55%']",[''],[''],
Flashwood,64732251,Q98078173,Flashwood,2020-03-04T00:00:00Z,,92,Quebec French,Canada,['drama'],[''],[''],[''],
The Flood (2020 film),74969757,Q122925839,The Flood (2020 film),,,,,,,,,,
Flowers of the Field (film),65529624,Q104861950,Flowers of the Field,2020-01-01T00:00:00Z,,,,Canada,[''],[''],[''],[''],
Foam (film),66186433,Q104834453,Foam,2020-01-01T00:00:00Z,,28,French,Canada,['fiction'],[''],[''],[''],
Folklore: The Long Pond Studio Sessions,65929285,Q102302517,Folklore: The Long Pond Studio Sessions,,,,,,,,,,
Follow the Dead,76049726,Q124478434,Follow the Dead,2020-10-17T00:00:00Z,,95,English,Ireland,[''],[''],[''],[''],
Food Luck,67395831,Q97961899,Food Luck,2020-11-20T00:00:00Z,,,,Japan,[''],[''],[''],[''],
Footfairy,72592771,Q116179185,Footfairy,,,,,,,,,,
For Madmen Only: The Stories of Del Close,74553969,Q121307499,For Madmen Only: The Stories of Del Close,,,,,,,,,,
For Maria Ebun Pataki,70605595,Q111945249,For Maria Ebun Pataki,,,,,,,,,,
Force of Nature (2020 film),63322774,Q94770146,Force of Nature,2020-01-01T00:00:00Z,,91,English,United States of America,"['action', 'drama', 'disaster']","['3.6/10', '8%']",[''],[''],
Force of Nature Natalia,73626502,Q117843173,Force of Nature Natalia,,,,,,,,,,
Forensic (2020 film),63224688,Q86755284,Forensic,2020-02-28T00:00:00Z,,134,"English, Malayalam",India,"['psychological thriller', 'crime', 'mystery', 'thriller', 'detective']",[''],[''],[''],
Forget Me Not (2019 film),66977441,Q106012753,Forget Me Not (2019 film),,,,,,,,,,
The Forgotten Battle,67174755,Q95630703,The Forgotten Battle,2020-11-01T00:00:00Z,6000546,124,"English, German, Dutch",Netherlands,['war'],"['100%', '7.7/100']",[''],[''],14000000
Forgotten Roads,72618200,Q110416054,La Nave del Olvido,2020-01-01T00:00:00Z,,72,Spanish,Chile,"['drama', 'romance']",[''],[''],[''],
Fortitude (film),70556053,Q111475474,Fortitude,2020-01-01T00:00:00Z,,108,Spanish,Venezuela,['drama'],[''],[''],[''],
The Forty-Year-Old Version,62992542,Q84204543,The Forty-Year-Old Version,2020-01-01T00:00:00Z,,,English,United States of America,['comedy'],"['99%', '8.10/10']",['Sundance U.S. Directing Award: Dramatic'],[''],
Four Good Days,60782661,Q73534675,Four Good Days,2020-01-01T00:00:00Z,,100,English,United States of America,['drama'],"['5.7/10', '53%', '52/100']",[''],[''],
Four Kids and It,57972976,Q56274553,Four Kids and It,2020-01-01T00:00:00Z,,,English,"United Kingdom, Ireland","['fantasy', 'family']","['48%', '5.4/10']",[''],[''],
Four Sisters Before the Wedding,65947853,Q103913788,Four Sisters Before the Wedding,,,,,,,,,,
